STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,DEWP,VISIB,WDSP,MXSPD,GUST,MAX,MIN,PRCP,SNDP,TEMPEXT_BASE40,TEMPEXT_BASE45,TEMPEXT_BASE50,OVER_60,OVER_70,OVER_80,UNDER_40,UNDER_30,UNDER_20,SUM_OVER_UNDER
72025400119,2022-01-01,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",25.4,21.7,10.0,3.4,12.0,17.1,33.8,17.6,0.0,0.0,14.600000000000001,19.6,24.6,0,0,0,1,1,0,2
72025400119,2022-01-02,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",34.5,29.0,9.8,9.7,15.9,22.9,42.8,30.2,0.0,0.0,5.5,10.5,15.5,0,0,0,1,0,0,1
72025400119,2022-01-03,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",39.5,38.1,7.6,8.4,17.1,26.0,42.8,37.4,0.0,0.0,0.5,5.5,10.5,0,0,0,1,0,0,1
72025400119,2022-01-04,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",36.6,36.4,9.1,5.3,11.1,15.9,41.0,32.0,0.0,0.0,3.3999999999999986,8.399999999999999,13.399999999999999,0,0,0,1,0,0,1
72025400119,2022-01-05,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",38.3,38.3,7.1,3.5,7.0,12.0,41.0,35.6,0.0,0.0,1.7000000000000028,6.700000000000003,11.700000000000003,0,0,0,1,0,0,1
72025400119,2022-01-06,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",42.4,42.4,2.7,6.0,12.0,19.0,51.8,32.0,0.0,0.0,2.3999999999999986,2.6000000000000014,7.600000000000001,0,0,0,0,0,0,0
72025400119,2022-01-07,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",47.0,45.5,7.6,8.5,15.0,24.1,51.8,41.0,0.0,0.0,7.0,2.0,3.0,0,0,0,0,0,0,0
72025400119,2022-01-08,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",39.6,37.6,10.0,6.0,9.9,14.0,46.4,37.4,0.0,0.0,0.3999999999999986,5.399999999999999,10.399999999999999,0,0,0,1,0,0,1
72025400119,2022-01-09,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",35.7,34.9,5.1,0.8,6.0,0.0,46.4,30.2,0.0,0.0,4.299999999999997,9.299999999999997,14.299999999999997,0,0,0,1,0,0,1
72025400119,2022-01-10,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",38.2,37.1,6.7,3.5,12.0,17.1,50.0,30.2,0.0,0.0,1.7999999999999972,6.799999999999997,11.799999999999997,0,0,0,1,0,0,1
72025400119,2022-01-11,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",48.6,46.3,8.7,7.9,15.9,22.9,51.8,46.4,0.0,0.0,8.600000000000001,3.6000000000000014,1.3999999999999986,0,0,0,0,0,0,0
72025400119,2022-01-12,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",53.8,51.0,7.8,7.8,12.0,18.1,60.8,51.8,0.0,0.0,13.799999999999997,8.799999999999997,3.799999999999997,0,0,0,0,0,0,0
72025400119,2022-01-13,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",47.7,46.0,9.5,1.8,6.0,11.1,57.2,44.6,0.0,0.0,7.700000000000003,2.700000000000003,2.299999999999997,0,0,0,0,0,0,0
72025400119,2022-01-14,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",48.2,44.6,10.0,0.5,2.9,0.0,51.8,44.6,0.0,0.0,8.200000000000003,3.200000000000003,1.7999999999999972,0,0,0,0,0,0,0
72025400119,2022-01-15,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",40.4,40.0,4.9,1.1,6.0,0.0,50.0,35.6,0.0,0.0,0.3999999999999986,4.600000000000001,9.600000000000001,0,0,0,0,0,0,0
72025400119,2022-01-16,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",41.2,41.2,6.2,3.0,7.0,0.0,42.8,39.2,0.0,0.0,1.2000000000000028,3.799999999999997,8.799999999999997,0,0,0,0,0,0,0
72025400119,2022-01-17,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",41.9,40.8,6.9,3.0,8.0,13.0,51.8,39.2,0.0,0.0,1.8999999999999986,3.1000000000000014,8.100000000000001,0,0,0,0,0,0,0
72025400119,2022-01-18,46.683,-122.983,54.3,"CHEHALIS CENTRALIA AIRPORT, WA US",44.8,42.6,9.6,5.3,8.9,13.0,50.0,41.0,0.0,0.0,4.799999999999997,0.20000000000000284,5.200000000000003,0,0,0,0,0,0,0
